SpaceSteps,OptionPrice,BS_price
90,6.50197,6.06195
120,6.39144,6.06195
150,6.32508,6.06195
180,6.28065,6.06195
210,6.24923,6.06195
240,6.2257,6.06195
270,6.20728,6.06195
300,6.19262,6.06195
