TimeSteps,OptionPrice,BS_price
50,6.45749,6.06195
55,6.45756,6.06195
60,6.45762,6.06195
65,6.45767,6.06195
70,6.45771,6.06195
75,6.45775,6.06195
80,6.45778,6.06195
85,6.45781,6.06195
90,6.45784,6.06195
95,6.45786,6.06195
100,6.45788,6.06195
105,6.4579,6.06195
110,6.45792,6.06195
115,6.45793,6.06195
120,6.45795,6.06195
125,6.45796,6.06195
130,6.45797,6.06195
135,6.45798,6.06195
140,6.45799,6.06195
145,6.458,6.06195
150,6.45801,6.06195
