TimeToMaturity,OptionPrice
0.1,5.59584
0.2,5.78634
0.3,6.00473
0.4,6.23109
0.5,6.45749
0.6,6.68084
0.7,6.89997
0.8,7.11452
0.9,7.32448
1,7.53
1.1,7.7313
1.2,7.92861
1.3,8.12218
1.4,8.31222
1.5,8.49895
1.6,8.68256
1.7,8.86323
1.8,9.04112
1.9,9.21638
